,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
79,"Cardiologist Doctor for Rajamandry in Rajahmundry, Andhra Pradesh, India: cardiologist, dm, doctors  ",25/07/18 19:03,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
80,"@syedomais You have new Job Matches! Business Development jobs within 25 mi. of Hyderabad, Andhra Pradesh IN  ",25/07/18 15:05,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
81,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 15:00,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
82,"RT @freejobsnews: AIATSL Recruitment - 89 PostsJob Location - Andhra PradeshName of Posts - Customer Agent &amp; Other PostsDate of Intervie",25/07/18 14:59,TRUE,3,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
83,"RT @freejobsnews: RINL Vizag Steel Plant Recruitment - 95 PostsJob Location - Andhra PradeshName of Posts - Operators &amp; Technician Posts",25/07/18 14:59,TRUE,1,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
84,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 12:34,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
85,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 10:46,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
86,@ysjagan @ysjagan well job ...great effort to do until we wil get the special status of AP you are my strength and  ,25/07/18 7:19,FALSE,0,2,2,Employment,Andhra Pradesh,India,FALSE,positive
87,RT @haaskids: @Iyervval @learning_pt @sunil_abraham @saikatd @samirsaran This sure is scary! Andhra Pradesh merely did a better job at digi,25/07/18 7:14,TRUE,4,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
88,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 5:41,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
89,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 5:38,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
